NAME,ENG,Epq,
호영,Hoyoung,"2015,12015,27352,66490,1006994,,1050862,,1074298,,,1103964,1703792,,1012693,,,,,,,,,,,,,,",
바이퍼,Buccaneer,"2011,12011,23300,65127,,,1050735,,1073825,,,,1703444,,,,,,,,,,,,,,,,",
캡틴,Corsair,"2015,12015,21695,67133,1001162,,1051808,,1071194,,,,1703445,,,,,,,,,,,,,,,,",
캐논슈터,Cannoneer,"2011,12011,23500,65114,1000135,,1054094,,1073824,,,,1703443,1032338,,,,,,,,,,,,,,,",
스트라이커,Thunder Breaker,"2011,12011,21486,67392,1006048,,1053873,,1073666,,,1103479,1703234,,,,,,,,,,,,,,,,",
메카닉,Mechanic,"2015,12015,24738,67946,1006989,,1051938,,1074290,,,,1703781,,,,,,,,,,,,,,,,",
은월,Shade,"2015,12015,55665,65267,,,1050768,,1073914,,,,1703506,,,,,,,,,,,,,,,,",
엔젤릭버스터,Angelic Buster,"2015,12015,56260,67881,,,1051939,,1071222,,,1101001,1703785,,,,,,,,,,,,,,,,",
아크,Ark,"2015,12015,25172,66461,,,1050859,,1074297,,,,1703789,,1012640,,,,,,,,,,,,,,",
제논,Xenon,"2015,12015,20185,66400,1006988,,1050857,,1074289,,,,1703780,,1012906,,,,,,,,,,,,,,",
